timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;34.557237;flow_1.0;24540242#1_0;1.700000;0.000000;0.000000;vehDist4;13.414635;52.520033
1.00;34.557237;flow_1.0;24540242#1_0;2.431793;0.000000;0.731793;vehDist4;13.414641;52.520039
2.00;34.557237;flow_1.0;24540242#1_0;3.745911;0.000000;1.314118;vehDist4;13.414651;52.520049
3.00;34.557237;flow_1.0;24540242#1_0;5.698463;0.000000;1.952552;vehDist4;13.414667;52.520063
3.00;34.557237;flow_2.0;24540242#1_0;1.700000;0.000000;0.000000;vehDist49;13.414635;52.520033
4.00;34.557237;flow_1.0;24540242#1_0;8.114951;0.000000;2.416489;vehDist4;13.414687;52.520082
4.00;34.557237;flow_2.0;24540242#1_0;2.346994;0.000000;0.646994;vehDist49;13.414640;52.520038
5.00;34.557237;flow_1.0;24540242#1_0;11.075919;0.000000;2.960968;vehDist4;13.414711;52.520104
5.00;34.557237;flow_2.0;24540242#1_0;3.571282;0.000000;1.224288;vehDist49;13.414650;52.520047
6.00;34.557237;flow_1.0;24540242#1_0;14.562611;0.000000;3.486692;vehDist4;13.414739;52.520130
6.00;34.557237;flow_2.0;24540242#1_0;5.378810;0.000000;1.807527;vehDist49;13.414665;52.520061
7.00;34.557237;flow_1.0;24540242#1_0;18.652041;0.000000;4.089430;vehDist4;13.414772;52.520161
7.00;34.557237;flow_2.0;24540242#1_0;8.106766;0.000000;2.727956;vehDist49;13.414687;52.520082
8.00;34.557237;flow_1.0;24540242#1_0;23.317433;0.000000;4.665392;vehDist4;13.414810;52.520196
8.00;34.557237;flow_2.0;24540242#1_0;11.831128;0.000000;3.724362;vehDist49;13.414717;52.520109
9.00;34.557237;flow_1.0;24540242#1_0;28.648133;0.000000;5.330700;vehDist4;13.414853;52.520236
9.00;34.557237;flow_2.0;24540242#1_0;16.121665;0.000000;4.290537;vehDist49;13.414752;52.520142
10.00;34.557237;flow_1.0;24540242#1_0;34.303546;0.000000;5.655413;vehDist4;13.414899;52.520278
10.00;34.557237;flow_2.0;24540242#1_0;21.357063;0.000000;5.235398;vehDist49;13.414794;52.520181
11.00;34.557237;flow_1.0;24540242#1_0;40.020343;0.000000;5.716797;vehDist4;13.414945;52.520321
11.00;34.557237;flow_2.0;24540242#1_0;27.158697;0.000000;5.801634;vehDist49;13.414841;52.520225
12.00;34.557237;flow_1.0;24540242#1_0;46.015683;0.000000;5.995340;vehDist4;13.414993;52.520366
12.00;34.557237;flow_2.0;24540242#1_0;33.522624;0.000000;6.363927;vehDist49;13.414892;52.520272
13.00;34.557237;flow_1.0;24540242#1_0;51.963972;0.000000;5.948289;vehDist4;13.415042;52.520411
13.00;34.557237;flow_2.0;24540242#1_0;40.226108;0.000000;6.703484;vehDist49;13.414947;52.520323
14.00;34.557237;flow_1.0;24540242#1_0;58.002442;0.000000;6.038470;vehDist4;13.415090;52.520456
14.00;34.557237;flow_2.0;24540242#1_0;46.914321;0.000000;6.688214;vehDist49;13.415001;52.520373
15.00;34.557237;flow_1.0;24540242#1_0;63.942337;0.000000;5.939895;vehDist4;13.415138;52.520501
15.00;34.557237;flow_2.0;24540242#1_0;53.333235;0.000000;6.418913;vehDist49;13.415053;52.520421
16.00;34.557237;flow_1.0;24540242#1_0;69.977026;0.000000;6.034689;vehDist4;13.415187;52.520546
16.00;34.557237;flow_2.0;24540242#1_0;60.066421;0.000000;6.733186;vehDist49;13.415107;52.520472
17.00;34.557237;flow_1.0;24540242#1_0;75.798568;0.000000;5.821542;vehDist4;13.415234;52.520590
17.00;34.557237;flow_2.0;24540242#1_0;66.679139;0.000000;6.612718;vehDist49;13.415161;52.520522
18.00;34.557237;flow_1.0;24540242#1_0;81.585766;0.000000;5.787197;vehDist4;13.415281;52.520634
18.00;34.557237;flow_2.0;24540242#1_0;72.855003;0.000000;6.175864;vehDist49;13.415211;52.520568
19.00;34.557237;flow_1.0;24540242#1_0;87.449467;0.000000;5.863702;vehDist4;13.415329;52.520678
19.00;34.557237;flow_2.0;24540242#1_0;78.908841;0.000000;6.053838;vehDist49;13.415260;52.520613
