timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;296.793450;flow_0.0;288355301_0;1.700000;0.000000;0.000000;vehDist49;13.418536;52.521557
0.00;128.156192;flow_1.0;301733776_0;1.700000;0.000000;0.000000;vehDist58;13.415404;52.522355
0.00;34.850711;flow_2.0;24540242#1_0;1.700000;0.000000;0.000000;vehDist4;13.415544;52.520882
1.00;296.793450;flow_0.0;288355301_0;2.108596;0.000000;0.408596;vehDist49;13.418531;52.521559
1.00;128.156192;flow_1.0;301733776_0;2.038089;0.000000;0.338089;vehDist58;13.415408;52.522353
1.00;34.850711;flow_2.0;24540242#1_0;2.336779;0.000000;0.636779;vehDist4;13.415549;52.520887
2.00;296.793450;flow_0.0;288355301_0;3.114082;0.000000;1.005486;vehDist49;13.418517;52.521563
2.00;128.156192;flow_1.0;301733776_0;2.786800;0.000000;0.748711;vehDist58;13.415417;52.522349
2.00;34.850711;flow_2.0;24540242#1_0;3.480275;0.000000;1.143496;vehDist4;13.415558;52.520895
3.00;296.793450;flow_0.0;288355301_0;4.598726;0.000000;1.484643;vehDist49;13.418497;52.521569
3.00;128.156192;flow_1.0;301733776_0;3.955597;0.000000;1.168797;vehDist58;13.415431;52.522343
3.00;34.850711;flow_2.0;24540242#1_0;5.179311;0.000000;1.699037;vehDist4;13.415572;52.520908
4.00;296.793450;flow_0.0;288355301_0;6.710406;0.000000;2.111681;vehDist49;13.418469;52.521577
4.00;128.156192;flow_1.0;301733776_0;5.584548;0.000000;1.628951;vehDist58;13.415450;52.522334
4.00;34.850711;flow_2.0;24540242#1_0;7.282049;0.000000;2.102737;vehDist4;13.415589;52.520924
5.00;296.793450;flow_0.0;288355301_0;9.517224;0.000000;2.806817;vehDist49;13.418432;52.521588
5.00;128.156192;flow_1.0;301733776_0;7.560920;0.000000;1.976371;vehDist58;13.415474;52.522324
5.00;34.850711;flow_2.0;24540242#1_0;9.811423;0.000000;2.529374;vehDist4;13.415610;52.520943
6.00;296.793450;flow_0.0;288355301_0;12.823567;0.000000;3.306344;vehDist49;13.418388;52.521601
6.00;128.156192;flow_1.0;301733776_0;10.049100;0.000000;2.488180;vehDist58;13.415503;52.522310
6.00;34.850711;flow_2.0;24540242#1_0;12.814582;0.000000;3.003159;vehDist4;13.415634;52.520965
7.00;296.793450;flow_0.0;288355301_0;16.540000;0.000000;3.716432;vehDist49;13.418338;52.521615
7.00;128.156192;flow_1.0;301733776_0;13.148625;0.000000;3.099525;vehDist58;13.415539;52.522293
7.00;34.850711;flow_2.0;24540242#1_0;16.198417;0.000000;3.383835;vehDist4;13.415662;52.520990
8.00;296.793450;flow_0.0;288355301_0;20.988954;0.000000;4.448954;vehDist49;13.418279;52.521632
8.00;128.156192;flow_1.0;301733776_0;16.662741;0.000000;3.514117;vehDist58;13.415581;52.522275
8.00;34.850711;flow_2.0;24540242#1_0;20.039717;0.000000;3.841300;vehDist4;13.415693;52.521019
9.00;296.793450;flow_0.0;288355301_0;26.098189;0.000000;5.109235;vehDist49;13.418211;52.521652
