timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
48.00;34.813499;flow_2.0;:junc_01_18_0;0.850734;0.000000;1.362000;vehDist71;13.416492;52.521706
48.00;34.850711;flow_2.1;24540242#1_0;25.846361;0.000000;5.229340;vehDist74;13.415740;52.521063
49.00;34.813499;flow_2.0;:junc_01_18_0;2.461990;0.000000;1.816000;vehDist71;13.416505;52.521718
49.00;34.850711;flow_2.1;24540242#1_0;30.866831;0.000000;5.020470;vehDist74;13.415781;52.521100
50.00;34.813499;flow_2.0;:junc_01_18_0;4.527035;0.000000;2.270000;vehDist71;13.416521;52.521734
50.00;34.850711;flow_2.1;24540242#1_0;36.200670;0.000000;5.333838;vehDist74;13.415825;52.521140
51.00;34.813499;flow_2.0;:junc_01_18_0;7.045871;0.000000;2.724000;vehDist71;13.416540;52.521753
51.00;34.850711;flow_2.1;24540242#1_0;41.483678;0.000000;5.283008;vehDist74;13.415868;52.521180
52.00;34.813499;flow_2.0;:junc_01_18_0;10.018497;0.000000;3.178000;vehDist71;13.416564;52.521776
52.00;34.850711;flow_2.1;24540242#1_0;46.582549;0.000000;5.098871;vehDist74;13.415909;52.521218
53.00;34.813499;flow_2.0;:junc_01_18_0;13.444913;0.000000;3.632000;vehDist71;13.416590;52.521802
53.00;34.850711;flow_2.1;24540242#1_0;51.914179;0.000000;5.331631;vehDist74;13.415953;52.521258
54.00;34.813499;flow_2.0;:junc_01_18_0;17.325119;0.000000;4.086000;vehDist71;13.416621;52.521832
54.00;56.435162;flow_2.1;:1986668243_0_0;3.165190;0.000000;5.061010;vehDist74;13.416004;52.521290
55.00;34.813499;flow_2.0;:junc_01_18_0;21.649533;0.000000;4.540000;vehDist71;13.416653;52.521865
55.00;45.802409;flow_2.1;:1986668243_0_0;8.309051;0.000000;5.143861;vehDist74;13.416069;52.521314
56.00;34.813499;flow_2.0;:junc_01_18_0;25.924096;0.000000;4.040000;vehDist71;13.416683;52.521899
56.00;34.378470;flow_2.1;188044903#0_0;4.978366;0.000000;5.339315;vehDist74;13.416113;52.521354
57.00;34.813499;flow_2.0;:junc_01_18_0;29.700458;0.000000;3.540000;vehDist71;13.416710;52.521929
57.00;34.378470;flow_2.1;188044903#0_0;10.289997;0.000000;5.311631;vehDist74;13.416156;52.521394
58.00;34.813499;flow_2.0;:junc_01_18_0;33.227720;0.000000;3.540000;vehDist71;13.416735;52.521956
